58	59	46	53	50	36	49	70	79	56	77	53	73	
53	56	94	99	10	109	21	31	71	21	71	60	64	
66	18	56	100	66	36	54	49	93	74	23	50	49	
59	13	12	56	39	26	54	91	26	110	55	60	36	
63	102	47	73	56	50	51	49	53	39	84	37	34	
76	3	76	86	62	56	35	45	66	54	64	49	78	
63	91	58	58	61	77	56	32	50	21	64	22	22	
42	82	65	21	63	67	80	56	52	34	77	80	14	
33	41	20	86	59	46	63	60	58	81	61	98	2	
56	91	38	2	73	58	91	78	31	56	81	38	8	
35	41	89	57	28	48	47	35	49	31	56	11	27	
59	52	62	52	75	63	90	32	15	74	100	56	31	
44	50	64	77	79	35	91	99	111	105	86	85	58	
